@RELATION compas

@ATTRIBUTE attribute_0 {0,1}
@ATTRIBUTE attribute_1 REAL
@ATTRIBUTE attribute_2 REAL
@ATTRIBUTE attribute_3 REAL
@ATTRIBUTE attribute_4 REAL
@ATTRIBUTE attribute_5 REAL
@ATTRIBUTE attribute_6 REAL
@ATTRIBUTE attribute_7 REAL
@ATTRIBUTE attribute_8 REAL
@ATTRIBUTE attribute_9 {0,1}
@ATTRIBUTE attribute_10 REAL
@ATTRIBUTE attribute_11 REAL
@ATTRIBUTE attribute_12 REAL
@ATTRIBUTE attribute_13 {0,1}
@ATTRIBUTE attribute_14 {0,1}
@ATTRIBUTE attribute_15 {0,1}

@DATA
1,24,0,3,0,0,0,63,1,0,3,5,0,0,1,0
1,43,0,1,0,0,0,0,0,0,1,1,0,0,1,1
1,45,0,6,0,0,6,0,0,0,6,1,6,0,0,0
1,60,0,2,0,0,5,-110,110,0,2,1,5,0,0,1
1,35,1,9,0,0,13,-188,188,0,9,5,13,0,1,0
1,31,0,7,0,0,11,0,1,0,7,9,11,0,0,0
0,22,0,3,0,0,1,-19,19,0,3,4,1,0,0,1
1,34,0,2,0,0,1,-1,1,0,2,2,1,0,1,0
1,27,1,7,0,0,4,-31,31,0,7,8,4,0,1,0
1,28,0,2,0,0,1,-1,1,0,2,2,1,0,1,0
1,32,0,5,0,0,5,272,15,0,5,3,5,0,0,0
1,47,0,5,0,0,3,0,0,0,5,9,3,0,1,1
1,44,3,7,0,0,16,-1,1,0,7,3,16,0,0,1
1,25,1,9,0,0,2,-1,1,0,9,7,2,0,1,0
1,30,0,10,0,0,8,-1,1,1,10,9,8,0,1,0
1,58,0,7,0,0,2,-16,16,0,7,4,2,0,1,0
0,23,0,3,0,0,0,-1,1,0,3,3,0,0,0,0
1,32,0,5,0,0,1,-115,115,0,5,5,1,0,1,0
0,26,0,6,0,0,9,404,13,1,6,4,9,1,1,0
1,37,0,9,0,0,22,-1,0,0,9,6,22,0,1,0
0,24,0,5,0,0,0,-1,1,0,5,4,0,0,0,1
1,36,1,7,2,5,17,105,11,0,7,5,17,0,1,0
1,42,0,10,0,0,0,0,0,0,10,6,0,0,1,0
1,37,0,9,0,0,11,-1,1,0,9,4,11,0,0,1
1,22,0,10,0,1,4,-1,1,0,10,6,4,0,1,1
0,54,0,2,0,0,1,-4,4,0,2,1,1,0,0,0
1,34,0,5,1,0,6,-1,1,0,5,3,6,0,1,0
1,42,0,5,0,0,0,-1,1,0,5,1,0,0,0,0
1,29,0,2,0,0,0,-1,1,0,2,2,0,0,0,1
1,26,0,2,0,0,1,-1,1,0,2,3,1,0,1,1
1,25,0,9,0,0,0,-1,1,0,9,9,0,0,1,0
1,24,0,3,0,1,2,-1,1,0,3,4,2,0,1,1
1,21,0,9,0,0,0,-1,1,0,9,10,0,0,1,0
1,43,0,8,0,0,10,28,582,0,8,5,10,0,1,0
1,22,0,9,0,0,2,0,0,0,9,6,2,0,1,0
1,25,0,4,0,0,1,-1,1,0,4,3,1,0,0,0
0,34,0,9,0,0,14,-1,1,0,9,8,14,0,1,0
0,51,0,1,0,0,0,-1,1,0,1,1,0,0,1,1
1,21,0,9,0,0,0,-1,1,0,9,8,0,0,1,0
